No.;Time;;Time 1;Time 2;;Delay;Delay 1;Delay 2;;Jitter
77;18,218529;;18,218529;18,244211;;0,025682;-0,01512;0,485711;;0,500831
78;18,244211;;18,244211;18,285013;;0,040802;-0,500831;0,955757;;1,456588
79;18,285013;;18,285013;18,826646;;0,541633;-1,456588;-2,636531;;-1,179943
80;18,826646;;18,826646;20,824867;;1,998221;1,179943;1,139975;;-0,039968
81;20,824867;;20,824867;21,643145;;0,818278;0,039968;-0,738139;;-0,778107
82;21,643145;;21,643145;22,421455;;0,77831;0,778107;1,778546;;1,000439
83;22,421455;;22,421455;22,421658;;0,000203;-1,000439;-2,00108;;-1,000641
84;22,421658;;22,421658;23,4223;;1,000642;1,000641;2,532282;;1,531641
85;23,4223;;23,4223;23,422301;;1E-06;-1,531641;-3,063089;;-1,531448
86;23,422301;;23,422301;24,953943;;1,531642;1,531448;1,919975;;0,388527
87;24,953943;;24,953943;24,954137;;0,000194;-0,388527;-0,777091;;-0,388564
88;24,954137;;24,954137;25,342858;;0,388721;0,388564;0,468329;;0,079765
89;25,342858;;25,342858;25,343015;;0,000157;-0,079765;-0,159686;;-0,079921
90;25,343015;;25,343015;25,422937;;0,079922;0,079921;0,092727;;0,012806
91;25,422937;;25,422937;25,422938;;1E-06;-0,012806;-0,025613;;-0,012807
92;25,422938;;25,422938;25,435745;;0,012807;0,012807;0,012926;;0,000119
93;25,435745;;25,435745;25,435745;;0;-0,000119;-0,000214;;-9,5E-05
94;25,435745;;25,435745;25,435864;;0,000119;9,5E-05;0,417881;;0,417786
95;25,435864;;25,435864;25,435888;;2,4E-05;-0,417786;-0,835424;;-0,417638
96;25,435888;;25,435888;25,853698;;0,41781;0,417638;0,683747;;0,266109
97;25,853698;;25,853698;25,85387;;0,000172;-0,266109;-0,292056;;-0,025947
98;25,85387;;25,85387;26,120151;;0,266281;0,025947;2,848384;;2,822437
99;26,120151;;26,120151;26,360485;;0,240334;-2,822437;-5,885207;;-3,06277
100;26,360485;;26,360485;29,423256;;3,062771;3,06277;3,104442;;0,041672
